,,,畢業生總計,未升學未就業總計,正在接受職業訓練,正在軍中服役,需要工作而未找到,補習或準備升學,健康不良在家休養,準備出國,其他原因,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外或大陸就讀,其他學校,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
國立,普通科,普通科,34267,899,4,98,9,750,3,4,31,33108,15733,73,16005,141,0,1,6,3,48,407,458,226,7,185,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16
國立,職業科,機械群,4502,193,15,100,21,40,5,1,11,4022,1356,416,1828,296,21,0,4,4,0,2,90,1,4,249,7,1,92,0,0,16,7,5,16,2,0,0,13,12,36,7,0,3,32
國立,職業科,動力機械群,1239,103,4,66,4,22,3,1,3,942,308,47,466,65,12,7,0,1,0,2,34,0,0,186,13,2,33,1,0,10,5,3,21,0,0,0,21,10,53,0,0,3,11
國立,職業科,電機與電子群,5195,259,16,143,25,54,3,1,17,4672,1762,171,2478,122,18,4,5,6,0,3,101,0,2,250,13,2,41,11,1,8,14,3,26,5,0,0,11,11,62,0,1,3,38
國立,職業科,化工群,1268,30,1,12,3,12,0,1,1,1200,566,35,537,32,2,1,0,1,0,0,26,0,0,37,1,0,6,0,0,1,0,0,10,2,0,0,4,0,9,0,1,0,3
國立,職業科,土木與建築群,1267,55,2,29,2,16,1,1,4,1142,316,67,676,30,25,1,2,2,0,0,21,1,1,62,4,0,1,0,0,6,6,0,14,0,0,0,1,1,25,0,0,0,4
國立,職業科,商業與管理群,7990,144,2,55,15,54,2,1,15,7587,2663,440,4304,99,1,4,3,2,1,1,62,5,2,223,5,2,7,2,0,3,13,1,57,4,2,1,6,5,39,0,2,23,51
國立,職業科,外語群,887,5,0,1,0,3,0,1,0,874,496,8,359,5,0,1,0,0,0,1,1,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0
國立,職業科,設計群,1193,37,1,10,3,17,0,1,5,1114,266,88,728,16,0,0,0,0,0,1,13,1,1,37,0,0,2,0,0,3,5,0,9,2,0,0,3,0,4,1,0,1,7
國立,職業科,農業群,1803,76,1,34,22,7,1,1,10,1489,498,97,776,64,36,0,1,0,0,2,14,0,1,225,31,0,12,0,0,5,11,4,41,2,0,0,8,13,64,0,2,8,24
國立,職業科,食品群,1297,49,5,12,16,6,3,2,5,1126,293,100,680,26,1,0,0,0,0,0,25,0,1,117,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18
國立,職業科,家政群,1414,26,0,4,11,4,2,0,5,1290,308,24,832,72,19,2,20,3,0,0,8,2,0,93,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31
