,,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,其他
普通科,國立,男,17434,646,2,98,8,509,2,1,26
普通科,國立,女,16833,253,2,0,1,241,1,3,5
普通科,縣市立,男,19983,652,6,106,7,465,2,11,55
普通科,縣市立,女,20770,335,2,0,9,261,2,24,37
普通科,私立,男,14248,538,13,111,15,366,4,9,20
普通科,私立,女,14270,276,6,0,3,230,5,12,20
職業科,國立,男,17529,977,53,504,147,173,25,6,69
職業科,國立,女,13108,295,23,0,123,69,23,6,51
職業科,縣市立,男,6915,201,8,50,13,90,12,3,25
職業科,縣市立,女,4057,101,7,0,24,48,4,10,8
職業科,私立,男,37205,3636,175,2128,726,158,71,26,352
職業科,私立,女,34965,1331,115,0,685,207,85,43,196
綜合高中,國立,男,4895,222,7,94,12,80,0,2,27
綜合高中,國立,女,5833,84,0,0,14,48,3,5,14
綜合高中,縣市立,男,1829,59,0,12,0,38,1,2,6
綜合高中,縣市立,女,1928,37,0,0,1,28,1,3,4
綜合高中,私立,男,4922,264,13,143,42,37,6,1,22
綜合高中,私立,女,6013,122,10,0,39,30,2,3,38
實用技能學程,國立,男,1992,288,11,194,36,8,3,0,36
實用技能學程,國立,女,1488,58,9,0,32,6,2,1,8
實用技能學程,縣市立,男,241,26,0,16,5,0,2,0,3
實用技能學程,縣市立,女,153,12,1,0,4,0,2,0,5
實用技能學程,私立,男,4712,843,11,490,207,20,15,2,98
實用技能學程,私立,女,3996,382,23,0,259,21,16,2,61
