表1-2-7 高級中等學校畢業生未升學未就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,比率,,,,,,,,,
,,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,"其他
","畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,其他,
總　計,,,"255,319","11,638",497,"3,946","2,412","3,133",289,175,"1,186",100.00,4.56,0.19,1.55,0.94,1.23,0.11,0.07,0.46,
,新北市,,"28,661","1,092",31,322,221,317,34,23,144,100.00,3.81,0.11,1.12,0.77,1.11,0.12,0.08,0.50,
,臺北市,,"38,765","1,107",72,191,80,548,26,64,126,100.00,2.86,0.19,0.49,0.21,1.41,0.07,0.17,0.33,
,臺中市,,"33,532","1,001",33,245,205,387,21,19,91,100.00,2.99,0.10,0.73,0.61,1.15,0.06,0.06,0.27,
,臺南市,,"21,946","1,151",40,417,224,325,38,6,101,100.00,5.24,0.18,1.90,1.02,1.48,0.17,0.03,0.46,
,高雄市,,"30,949","1,850",90,693,387,443,43,20,174,100.00,5.98,0.29,2.24,1.25,1.43,0.14,0.06,0.56,
,宜蘭縣,,"4,510",193,4,59,21,74,5,10,20,100.00,4.28,0.09,1.31,0.47,1.64,0.11,0.22,0.44,
,桃園縣,,"24,271","1,156",47,343,387,195,27,11,146,100.00,4.76,0.19,1.41,1.59,0.80,0.11,0.05,0.60,
,新竹縣,,"4,682",157,7,77,38,21,3, -,11,100.00,3.35,0.15,1.64,0.81,0.45,0.06, -,0.23,
,苗栗縣,,"6,173",326,34,95,51,69,10,7,60,100.00,5.28,0.55,1.54,0.83,1.12,0.16,0.11,0.97,
,彰化縣,,"13,833",785,57,340,204,143,16,3,22,100.00,5.67,0.41,2.46,1.47,1.03,0.12,0.02,0.16,
,南投縣,,"5,140",272,17,72,90,46,8,1,38,100.00,5.29,0.33,1.40,1.75,0.89,0.16,0.02,0.74,
,雲林縣,,"7,374",328,5,156,33,96,7,1,30,100.00,4.45,0.07,2.12,0.45,1.30,0.09,0.01,0.41,
,嘉義縣,,"3,484",347,3,135,119,52,4,1,33,100.00,9.96,0.09,3.87,3.42,1.49,0.11,0.03,0.95,
,屏東縣,,"7,167",685,25,340,150,117,15, -,38,100.00,9.56,0.35,4.74,2.09,1.63,0.21, -,0.53,
,臺東縣,,"1,895",159,10,76,17,28,5,3,20,100.00,8.39,0.53,4.01,0.90,1.48,0.26,0.16,1.06,
,花蓮縣,,"3,852",206,6,78,36,56,7,1,22,100.00,5.35,0.16,2.02,0.93,1.45,0.18,0.03,0.57,
,澎湖縣,,800,62, -,8,11,13,5, -,25,100.00,7.75, -,1.00,1.38,1.63,0.63, -,3.13,
,基隆市,,"4,720",96, -,47,7,38, -,1,3,100.00,2.03, -,1.00,0.15,0.81, -,0.02,0.06,
