,,,"畢業生
總計","未升學
未就業
計",正在接受職業訓練,"正在軍中
服役","需要工作
而未找到","補習或
準備升學","健康不良
在家休養",準備出國,"其他
"
國立,普通科,普通科,34267,899,4,98,9,750,3,4,31
國立,職業科,機械群,4502,193,15,100,21,40,5,1,11
國立,職業科,動力機械群,1239,103,4,66,4,22,3,1,3
國立,職業科,電機與電子群,5195,259,16,143,25,54,3,1,17
國立,職業科,化工群,1268,30,1,12,3,12,0,1,1
國立,職業科,土木與建築群,1267,55,2,29,2,16,1,1,4
國立,職業科,商業與管理群,7990,144,2,55,15,54,2,1,15
國立,職業科,外語群,887,5,0,1,0,3,0,1,0
國立,職業科,設計群,1193,37,1,10,3,17,0,1,5
國立,職業科,農業群,1803,76,1,34,22,7,1,1,10
國立,職業科,食品群,1297,49,5,12,16,6,3,2,5
國立,職業科,家政群,1414,26,0,4,11,4,2,0,5
國立,職業科,餐旅群,978,15,0,7,1,2,2,0,3
國立,職業科,水產群,305,11,0,5,4,0,1,0,1
國立,職業科,海事群,269,28,4,17,2,1,0,0,4
國立,職業科,藝術群,151,12,0,6,0,2,0,1,3
國立,職業科,綜合職能群,879,229,25,3,141,2,25,0,33
國立,綜合高中,學術群,6293,148,1,17,4,110,1,4,11
國立,綜合高中,機械群,251,13,0,4,1,2,1,0,5
國立,綜合高中,動力機械群,31,6,0,6,0,0,0,0,0
國立,綜合高中,電機與電子群,396,13,2,8,0,0,0,1,2
國立,綜合高中,化工群,71,1,0,0,0,1,0,0,0
國立,綜合高中,土木與建築群,215,5,0,1,2,1,0,0,1
國立,綜合高中,商業與管理群,1672,57,2,30,10,7,0,1,7
國立,綜合高中,外語群,294,3,0,0,1,1,0,0,1
國立,綜合高中,設計群,390,14,2,4,0,2,0,0,6
國立,綜合高中,農業群,95,4,0,3,0,1,0,0,0
國立,綜合高中,食品群,279,4,0,0,4,0,0,0,0
國立,綜合高中,家政群,108,1,0,0,0,0,0,1,0
國立,綜合高中,餐旅群,566,31,0,20,4,2,1,0,4
國立,綜合高中,水產群,28,2,0,0,0,0,0,0,2
國立,綜合高中,海事群,19,2,0,0,0,0,0,0,2
國立,綜合高中,藝術群,9,1,0,1,0,0,0,0,0
國立,綜合高中,綜合職能群,11,1,0,0,0,1,0,0,0
國立,實用技能學程,機械群,437,37,2,18,2,2,2,1,10
國立,實用技能學程,動力機械群,167,28,0,17,9,0,0,0,2
國立,實用技能學程,電機與電子群,762,105,7,66,16,4,0,0,12
國立,實用技能學程,土木與建築群,132,9,0,7,2,0,0,0,0
國立,實用技能學程,商業與管理群,677,42,7,21,5,1,1,0,7
國立,實用技能學程,設計群,167,19,2,10,3,2,0,0,2
國立,實用技能學程,農業群,181,21,0,12,3,2,1,0,3
國立,實用技能學程,食品群,285,30,1,19,7,0,0,0,3
國立,實用技能學程,餐旅群,423,27,1,5,13,3,1,0,4
國立,實用技能學程,水產群,35,2,0,2,0,0,0,0,0
國立,實用技能學程,海事群,62,15,0,15,0,0,0,0,0
國立,實用技能學程,美容造型群,152,11,0,2,8,0,0,0,1
縣市立,普通科,普通科,40753,987,8,106,16,726,4,35,92
縣市立,職業科,機械群,1852,39,2,6,0,22,0,0,9
縣市立,職業科,動力機械群,670,21,0,10,1,10,0,0,0
縣市立,職業科,電機與電子群,3001,74,1,19,0,47,0,1,6
縣市立,職業科,化工群,170,2,0,2,0,0,0,0,0
