表1-2-1 高級中等學校畢業生升學情形—按設立別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校","畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校",
總　計,,計,"255,319","221,519","58,433","4,037","140,680","11,579",432,293,620,661,117,904,"2,247","1,288",228,100.00,86.76,22.89,1.58,55.10,4.54,0.17,0.11,0.24,0.26,0.05,0.35,0.88,0.50,0.09,
,,男,"131,905","110,576","31,168","2,101","66,734","6,308",234,142,278,344,85,810,"1,689",566,117,100.00,83.83,23.63,1.59,50.59,4.78,0.18,0.11,0.21,0.26,0.06,0.61,1.28,0.43,0.09,
,,女,"123,414","110,943","27,265","1,936","73,946","5,271",198,151,342,317,32,94,558,722,111,100.00,89.89,22.09,1.57,59.92,4.27,0.16,0.12,0.28,0.26,0.03,0.08,0.45,0.59,0.09,
,國立,計,"79,112","72,027","27,594","1,944","38,526","1,737",171,44,99,30,51,502,"1,023",260,46,100.00,91.04,34.88,2.46,48.70,2.20,0.22,0.06,0.13,0.04,0.06,0.63,1.29,0.33,0.06,
,,男,"41,850","37,096","14,832","1,082","18,492","1,052",109,26,53,23,39,457,768,133,30,100.00,88.64,35.44,2.59,44.19,2.51,0.26,0.06,0.13,0.05,0.09,1.09,1.84,0.32,0.07,
,,女,"37,262","34,931","12,762",862,"20,034",685,62,18,46,7,12,45,255,127,16,100.00,93.74,34.25,2.31,53.77,1.84,0.17,0.05,0.12,0.02,0.03,0.12,0.68,0.34,0.04,
,縣市立,計,"55,876","53,484","20,181",502,"31,090",727,33,8,6,13,33,239,407,237,8,100.00,95.72,36.12,0.90,55.64,1.30,0.06,0.01,0.01,0.02,0.06,0.43,0.73,0.42,0.01,
,,男,"28,968","27,410","10,907",261,"15,116",455,27,7,4,8,28,204,305,84,4,100.00,94.62,37.65,0.90,52.18,1.57,0.09,0.02,0.01,0.03,0.10,0.70,1.05,0.29,0.01,
,,女,"26,908","26,074","9,274",241,"15,974",272,6,1,2,5,5,35,102,153,4,100.00,96.90,34.47,0.90,59.37,1.01,0.02,0.00,0.01,0.02,0.02,0.13,0.38,0.57,0.01,
,私立,計,"120,331","96,008","10,658","1,591","71,064","9,115",228,241,515,618,33,163,817,791,174,100.00,79.79,8.86,1.32,59.06,7.57,0.19,0.20,0.43,0.51,0.03,0.14,0.68,0.66,0.14,
