表1-2-5 高級中等學校畢業生升學情形—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,"畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校","畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校",
總　計,,,"255,319","221,519","58,433","4,037","140,680","11,579",432,293,620,661,117,904,"2,247","1,288",228,100.00,86.76,22.89,1.58,55.10,4.54,0.17,0.11,0.24,0.26,0.05,0.35,0.88,0.50,0.09,
,,新北市,"28,661","24,919","3,976",150,"18,558","1,432",21,39,149,156,7,33,106,250,42,100.00,86.94,13.87,0.52,64.75,5.00,0.07,0.14,0.52,0.54,0.02,0.12,0.37,0.87,0.15,
,,臺北市,"38,765","36,417","12,050",503,"22,053","1,069",27,10,81,81,4,48,137,347,7,100.00,93.94,31.08,1.30,56.89,2.76,0.07,0.03,0.21,0.21,0.01,0.12,0.35,0.90,0.02,
,,臺中市,"33,532","30,593","9,250",780,"17,855","1,903",54,61,64,44,11,56,229,262,24,100.00,91.24,27.59,2.33,53.25,5.68,0.16,0.18,0.19,0.13,0.03,0.17,0.68,0.78,0.07,
,,臺南市,"21,946","18,774","5,536",195,"10,728","1,692",38,2,14,55,19,136,294,49,16,100.00,85.55,25.23,0.89,48.88,7.71,0.17,0.01,0.06,0.25,0.09,0.62,1.34,0.22,0.07,
,,高雄市,"30,949","25,093","7,480",837,"13,737","1,972",88,33,154,54,30,169,399,110,30,100.00,81.08,24.17,2.70,44.39,6.37,0.28,0.11,0.50,0.17,0.10,0.55,1.29,0.36,0.10,
,,宜蘭縣,"4,510","3,923",788,28,"3,000",20,5,1,1, -,1,28,41,10, -,100.00,86.98,17.47,0.62,66.52,0.44,0.11,0.02,0.02, -,0.02,0.62,0.91,0.22, -,
,,桃園縣,"24,271","21,449","5,221",195,"14,587",888,61,71,48,33,7,24,214,63,37,100.00,88.37,21.51,0.80,60.10,3.66,0.25,0.29,0.20,0.14,0.03,0.10,0.88,0.26,0.15,
,,新竹縣,"4,682","4,212",769,11,"3,045",297,4,3,6,45, -,6,17,6,3,100.00,89.96,16.42,0.23,65.04,6.34,0.09,0.06,0.13,0.96, -,0.13,0.36,0.13,0.06,
,,苗栗縣,"6,173","5,078",741,170,"3,687",295,10,7,15,67, -,14,61,3,8,100.00,82.26,12.00,2.75,59.73,4.78,0.16,0.11,0.24,1.09, -,0.23,0.99,0.05,0.13,
,,彰化縣,"13,833","11,508","3,251",178,"6,953",856,20,10,20,32, -,75,81,13,19,100.00,83.19,23.50,1.29,50.26,6.19,0.14,0.07,0.14,0.23, -,0.54,0.59,0.09,0.14,
,,南投縣,"5,140","4,361",762,74,"3,033",269,1,28,15,43,1,34,59,38,4,100.00,84.84,14.82,1.44,59.01,5.23,0.02,0.54,0.29,0.84,0.02,0.66,1.15,0.74,0.08,
,,雲林縣,"7,374","5,978","1,370",264,"3,958",162,4,7,13,13,9,45,104,19,10,100.00,81.07,18.58,3.58,53.68,2.20,0.05,0.09,0.18,0.18,0.12,0.61,1.41,0.26,0.14,
,,嘉義縣,"3,484","2,377",382,70,"1,628",166, -,5, -,22, -,14,60,6,24,100.00,68.23,10.96,2.01,46.73,4.76, -,0.14, -,0.63, -,0.40,1.72,0.17,0.69,
