表1-2-9 高級中等學校畢業生升學情形—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,
,,,,"畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校","畢業生
總計","已升學
計","公立
大學
日間部","公立
大學
進修
學士班","私立
大學
日間部","私立
大學
進修
學士班","公立
二專
日間部","公立
二專
夜間部","私立
二專
日間部","私立
二專
夜間部","警察
大學","警察
專科
學校","軍事
院校","赴國外
、大陸
就讀","其他
學校
",
總　計,,,,"255,319","221,519","58,433","4,037","140,680","11,579",432,293,620,661,117,904,"2,247","1,288",228,100.00,86.76,22.89,1.58,55.10,4.54,0.17,0.11,0.24,0.26,0.05,0.35,0.88,0.50,0.09,
,普通科,,,"103,538","99,952","37,032",268,"58,613","1,036",15,2,14,4,97,772,"1,064","1,006",29,100.00,96.54,35.77,0.26,56.61,1.00,0.01,0.00,0.01,0.00,0.09,0.75,1.03,0.97,0.03,
,職業科,,,"113,779","92,178","16,879","3,268","60,939","8,254",319,228,537,476,16,29,900,192,141,100.00,81.01,14.83,2.87,53.56,7.25,0.28,0.20,0.47,0.42,0.01,0.03,0.79,0.17,0.12,
,,,機械群,"8,093","7,140","2,169",501,"3,711",592,26,4,4,7,4,4,111,2,5,100.00,88.22,26.80,6.19,45.85,7.31,0.32,0.05,0.05,0.09,0.05,0.05,1.37,0.02,0.06,
,,,動力機械群,"5,881","3,443",590,126,"2,019",524,18,8,17,39, -,3,89,10, -,100.00,58.54,10.03,2.14,34.33,8.91,0.31,0.14,0.29,0.66, -,0.05,1.51,0.17, -,
,,,電機與電子群,"20,738","17,310","3,728",390,"11,126","1,576",38,28,53,86, -,10,246,9,20,100.00,83.47,17.98,1.88,53.65,7.60,0.18,0.14,0.26,0.41, -,0.05,1.19,0.04,0.10,
,,,化工群,"1,438","1,366",678,37,588,32,2,1, -,1, -,1,26, -, -,100.00,94.99,47.15,2.57,40.89,2.23,0.14,0.07, -,0.07, -,0.07,1.81, -, -,
,,,土木與建築群,"1,927","1,746",543,75,994,67,33,1,3,2, -,1,24,2,1,100.00,90.61,28.18,3.89,51.58,3.48,1.71,0.05,0.16,0.10, -,0.05,1.25,0.10,0.05,
,,,商業與管理群,"23,877","21,546","4,485",990,"14,364","1,285",26,58,50,86,1,1,166,18,16,100.00,90.24,18.78,4.15,60.16,5.38,0.11,0.24,0.21,0.36, -, -,0.70,0.08,0.07,
,,,外語群,"6,338","6,056","1,085",138,"4,448",274,5,1,5,6,3,2,32,54,3,100.00,95.55,17.12,2.18,70.18,4.32,0.08,0.02,0.08,0.09,0.05,0.03,0.50,0.85,0.05,
,,,設計群,"8,852","8,008",776,220,"6,237",660,13, -,6,11, -,1,42,35,7,100.00,90.47,8.77,2.49,70.46,7.46,0.15, -,0.07,0.12, -,0.01,0.47,0.40,0.08,
,,,農業群,"1,915","1,599",567,97,817,64,36, -,1, -, -,2,14, -,1,100.00,83.50,29.61,5.07,42.66,3.34,1.88, -,0.05, -, -,0.10,0.73, -,0.05,
,,,食品群,"1,376","1,202",339,100,710,26,1, -, -, -, -, -,25, -,1,100.00,87.35,24.64,7.27,51.60,1.89,0.07, -, -, -, -, -,1.82, -,0.07,
,,,家政群,"8,506","6,085",522,107,"4,241",769,60,50,130,138,5,1,24,7,31,100.00,71.54,6.14,1.26,49.86,9.04,0.71,0.59,1.53,1.62,0.06,0.01,0.28,0.08,0.36,
