,,,畢業生總計,已升學總計,公立大學日間部,公立大學進修學士班,私立大學日間部,私立大學進修學士班,公立二專日間部,公立二專夜間部,私立二專日間部,私立二專夜間部,警察大學,警察專科學校,軍事院校,赴國外、大陸就讀,其他學校
國立,普通科,普通科,34267,33108,15733,73,16005,141,0,1,6,3,48,407,458,226,7
國立,職業科,機械群,4502,4022,1356,416,1828,296,21,0,4,4,0,2,90,1,4
國立,職業科,動力機械群,1239,942,308,47,466,65,12,7,0,1,0,2,34,0,0
國立,職業科,電機與電子群,5195,4672,1762,171,2478,122,18,4,5,6,0,3,101,0,2
國立,職業科,化工群,1268,1200,566,35,537,32,2,1,0,1,0,0,26,0,0
國立,職業科,土木與建築群,1267,1142,316,67,676,30,25,1,2,2,0,0,21,1,1
國立,職業科,商業與管理群,7990,7587,2663,440,4304,99,1,4,3,2,1,1,62,5,2
國立,職業科,外語群,887,874,496,8,359,5,0,1,0,0,0,1,1,2,1
國立,職業科,設計群,1193,1114,266,88,728,16,0,0,0,0,0,1,13,1,1
國立,職業科,農業群,1803,1489,498,97,776,64,36,0,1,0,0,2,14,0,1
國立,職業科,食品群,1297,1126,293,100,680,26,1,0,0,0,0,0,25,0,1
國立,職業科,家政群,1414,1290,308,24,832,72,19,2,20,3,0,0,8,2,0
國立,職業科,餐旅群,978,858,276,79,478,14,1,2,3,1,0,0,3,1,0
國立,職業科,水產群,305,230,140,13,60,6,0,0,4,0,0,0,6,0,1
國立,職業科,海事群,269,168,82,5,56,3,1,0,17,1,0,0,3,0,0
國立,職業科,藝術群,151,124,97,5,20,2,0,0,0,0,0,0,0,0,0
國立,職業科,綜合,879,92,2,0,80,9,0,1,0,0,0,0,0,0,0
國立,綜合高中,學術群,6293,6064,1460,47,4278,58,2,1,0,0,0,82,101,17,18
國立,綜合高中,機械群,251,209,77,5,115,10,0,0,0,0,0,0,2,0,0
國立,綜合高中,動力機械群,31,13,0,4,6,1,0,0,0,0,2,0,0,0,0
國立,綜合高中,電機與電子群,396,365,86,4,232,25,0,0,0,0,0,0,11,0,7
國立,綜合高中,化工群,71,68,23,5,38,0,0,0,0,0,0,0,2,0,0
國立,綜合高中,土木與建築群,215,204,68,14,110,9,1,0,0,0,0,0,2,0,0
國立,綜合高中,商業與管理群,1672,1486,305,50,1075,39,3,0,1,0,0,0,10,3,0
國立,綜合高中,外語群,294,272,42,6,218,2,1,0,0,0,0,0,3,0,0
國立,綜合高中,設計群,390,352,41,1,287,21,0,0,0,0,0,0,2,0,0
國立,綜合高中,農業群,95,81,39,0,38,4,0,0,0,0,0,0,0,0,0
國立,綜合高中,食品群,279,250,62,22,139,16,6,0,1,0,0,0,4,0,0
國立,綜合高中,家政群,108,92,5,4,80,3,0,0,0,0,0,0,0,0,0
國立,綜合高中,餐旅群,566,458,79,6,355,6,1,0,3,1,0,0,7,0,0
國立,綜合高中,水產群,28,14,11,0,3,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,海事群,19,16,9,0,7,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,藝術群,9,6,1,0,5,0,0,0,0,0,0,0,0,0,0
國立,綜合高中,綜合,11,10,1,0,7,2,0,0,0,0,0,0,0,0,0
國立,實用技能學程,機械群,437,252,18,20,148,61,0,0,0,2,0,0,2,1,0
國立,實用技能學程,動力機械群,167,61,5,2,31,22,0,0,0,1,0,0,0,0,0
國立,實用技能學程,電機與電子群,762,386,24,41,163,132,0,11,10,2,0,1,2,0,0
國立,實用技能學程,土木與建築群,132,97,9,9,59,19,1,0,0,0,0,0,0,0,0
國立,實用技能學程,商業與管理群,677,430,14,17,287,104,5,2,1,0,0,0,0,0,0
國立,實用技能學程,設計群,167,97,6,2,57,27,2,1,0,0,0,0,2,0,0
國立,實用技能學程,農業群,181,123,9,6,75,20,7,3,0,0,0,0,3,0,0
國立,實用技能學程,食品群,285,168,7,6,81,61,0,0,8,0,0,0,5,0,0
國立,實用技能學程,餐旅群,423,264,9,2,182,69,0,0,2,0,0,0,0,0,0
國立,實用技能學程,水產群,35,26,14,2,8,2,0,0,0,0,0,0,0,0,0
國立,實用技能學程,海事群,62,35,7,0,24,4,0,0,0,0,0,0,0,0,0
國立,實用技能學程,美容造型群,152,90,1,1,55,18,5,2,8,0,0,0,0,0,0
縣市立,普通科,普通科,40753,39383,15200,123,22972,248,11,1,5,0,33,224,342,222,2
