表1-2-2 高級中等學校畢業生就業情況—按設立別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,,"畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業","畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業",
總　計,,,計,"255,319","20,885",516,93,"2,477",208,31,635,"1,526",529,"5,641",295,76,23,"1,711",573,"1,569",67,106,922,"3,887",100.00,8.18,0.20,0.04,0.97,0.08,0.01,0.25,0.60,0.21,2.21,0.12,0.03,0.01,0.67,0.22,0.61,0.03,0.04,0.36,1.52,
,,,男,"131,905","12,233",400,81,"1,905",174,22,566,772,432,"2,944",175,43,12,882,323,"1,063",17,28,420,"1,974",100.00,9.27,0.30,0.06,1.44,0.13,0.02,0.43,0.59,0.33,2.23,0.13,0.03,0.01,0.67,0.24,0.81,0.01,0.02,0.32,1.50,
,,,女,"123,414","8,652",116,12,572,34,9,69,754,97,"2,697",120,33,11,829,250,506,50,78,502,"1,913",100.00,7.01,0.09,0.01,0.46,0.03,0.01,0.06,0.61,0.08,2.19,0.10,0.03,0.01,0.67,0.20,0.41,0.04,0.06,0.41,1.55,
,國立,,計,"79,112","3,908",180,41,524,62,6,123,275,79,766,38,9,2,192,164,679,16,30,128,594,100.00,4.94,0.23,0.05,0.66,0.08,0.01,0.16,0.35,0.10,0.97,0.05,0.01,0.00,0.24,0.21,0.86,0.02,0.04,0.16,0.75,
,,,男,"41,850","2,404",142,33,396,55,2,113,134,56,343,24,3,1,135,98,483,10,6,49,321,100.00,5.74,0.34,0.08,0.95,0.13,0.00,0.27,0.32,0.13,0.82,0.06,0.01,0.00,0.32,0.23,1.15,0.02,0.01,0.12,0.77,
,,,女,"37,262","1,504",38,8,128,7,4,10,141,23,423,14,6,1,57,66,196,6,24,79,273,100.00,4.04,0.10,0.02,0.34,0.02,0.01,0.03,0.38,0.06,1.14,0.04,0.02,0.00,0.15,0.18,0.53,0.02,0.06,0.21,0.73,
,縣市立,,計,"55,876",805,7, -,68,9, -,40,40,14,161,6,7,1,52,34,123,5,8,39,191,100.00,1.44,0.01, -,0.12,0.02, -,0.07,0.07,0.03,0.29,0.01,0.01,0.00,0.09,0.06,0.22,0.01,0.01,0.07,0.34,
,,,男,"28,968",515,7, -,53,7, -,40,24,11,93,4,4, -,34,23,65,1,6,22,121,100.00,1.78,0.02, -,0.18,0.02, -,0.14,0.08,0.04,0.32,0.01,0.01, -,0.12,0.08,0.22,0.00,0.02,0.08,0.42,
,,,女,"26,908",290, -, -,15,2, -, -,16,3,68,2,3,1,18,11,58,4,2,17,70,100.00,1.08, -, -,0.06,0.01, -, -,0.06,0.01,0.25,0.01,0.01,0.00,0.07,0.04,0.22,0.01,0.01,0.06,0.26,
,私立,,計,"120,331","16,172",329,52,"1,885",137,25,472,"1,211",436,"4,714",251,60,20,"1,467",375,767,46,68,755,"3,102",100.00,13.44,0.27,0.04,1.57,0.11,0.02,0.39,1.01,0.36,3.92,0.21,0.05,0.02,1.22,0.31,0.64,0.04,0.06,0.63,2.58,
,,,男,"61,087","9,314",251,48,"1,456",112,20,413,614,365,"2,508",147,36,11,713,202,515,6,16,349,"1,532",100.00,15.25,0.41,0.08,2.38,0.18,0.03,0.68,1.01,0.60,4.11,0.24,0.06,0.02,1.17,0.33,0.84,0.01,0.03,0.57,2.51,
,,,女,"59,244","6,858",78,4,429,25,5,59,597,71,"2,206",104,24,9,754,173,252,40,52,406,"1,570",100.00,11.58,0.13,0.01,0.72,0.04,0.01,0.10,1.01,0.12,3.72,0.18,0.04,0.02,1.27,0.29,0.43,0.07,0.09,0.69,2.65,
普通科,,,計,"103,538",629,12,1,32,5, -,19,32,6,84,7, -,1,9,15,235,7,3,51,110,100.00,0.61,0.01,0.00,0.03,0.00, -,0.02,0.03,0.01,0.08,0.01, -,0.00,0.01,0.01,0.23,0.01,0.00,0.05,0.11,
,,,男,"51,665",386,8,1,29,4, -,19,18,5,45,5, -, -,3,7,129,2,3,34,74,100.00,0.75,0.02,0.00,0.06,0.01, -,0.04,0.03,0.01,0.09,0.01, -, -,0.01,0.01,0.25,0.00,0.01,0.07,0.14,
,,,女,"51,873",243,4, -,3,1, -, -,14,1,39,2, -,1,6,8,106,5, -,17,36,100.00,0.47,0.01, -,0.01,0.00, -, -,0.03,0.00,0.08,0.00, -,0.00,0.01,0.02,0.20,0.01, -,0.03,0.07,
,國立,,計,"34,267",185,1, -,8, -, -,4,13,1,28,2, -, -,1,7,99,1, -,4,16,100.00,0.54,0.00, -,0.02, -, -,0.01,0.04,0.00,0.08,0.01, -, -,0.00,0.02,0.29,0.00, -,0.01,0.05,
,,,男,"17,434",111,1, -,6, -, -,4,6,1,20,1, -, -,1,3,55,1, -,1,11,100.00,0.64,0.01, -,0.03, -, -,0.02,0.03,0.01,0.11,0.01, -, -,0.01,0.02,0.32,0.01, -,0.01,0.06,
