表1-2-6 高級中等學校畢業生就業情況—按縣市別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,"畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業","畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業",
總　計,,,"255,319","20,885",516,93,"2,477",208,31,635,"1,526",529,"5,641",295,76,23,"1,711",573,"1,569",67,106,922,"3,887",100.00,8.18,0.20,0.04,0.97,0.08,0.01,0.25,0.60,0.21,2.21,0.12,0.03,0.01,0.67,0.22,0.61,0.03,0.04,0.36,1.52,
,新北市,,"28,661","2,543",8,3,135,16,3,85,255,104,808,55,14,5,224,73,16,11,21,153,554,100.00,8.87,0.03,0.01,0.47,0.06,0.01,0.30,0.89,0.36,2.82,0.19,0.05,0.02,0.78,0.25,0.06,0.04,0.07,0.53,1.93,
,臺北市,,"38,765","1,106", -,1,12,1, -,26,47,9,486,8,8,2,79,53,10,3,12,31,318,100.00,2.85, -, -,0.03, -, -,0.07,0.12,0.02,1.25,0.02,0.02,0.01,0.20,0.14,0.03,0.01,0.03,0.08,0.82,
,臺中市,,"33,532","1,848",28,8,281,9,5,61,123,38,508,9,3,2,182,50,68,16,7,100,350,100.00,5.51,0.08,0.02,0.84,0.03,0.01,0.18,0.37,0.11,1.51,0.03,0.01,0.01,0.54,0.15,0.20,0.05,0.02,0.30,1.04,
,臺南市,,"21,946","1,854",34,6,287,30,2,82,120,41,516,12,6, -,156,62,142,3,5,82,268,100.00,8.45,0.15,0.03,1.31,0.14,0.01,0.37,0.55,0.19,2.35,0.05,0.03, -,0.71,0.28,0.65,0.01,0.02,0.37,1.22,
,高雄市,,"30,949","3,842",49,8,590,28,7,105,215,86,"1,015",35,15,5,382,91,322,9,8,167,705,100.00,12.41,0.16,0.03,1.91,0.09,0.02,0.34,0.69,0.28,3.28,0.11,0.05,0.02,1.23,0.29,1.04,0.03,0.03,0.54,2.28,
,宜蘭縣,,"4,510",357,3,1,22,5, -,16,36,8,68,2,1, -,10,7,59,1,4,23,91,100.00,7.92,0.07,0.02,0.49,0.11, -,0.35,0.80,0.18,1.51,0.04,0.02, -,0.22,0.16,1.31,0.02,0.09,0.51,2.02,
,桃園縣,,"24,271","1,558",12,10,227,8,2,52,87,99,414,15,10,3,115,80,65,5,4,106,244,100.00,6.42,0.05,0.04,0.94,0.03,0.01,0.21,0.36,0.41,1.71,0.06,0.04,0.01,0.47,0.33,0.27,0.02,0.02,0.44,1.01,
,新竹縣,,"4,682",289,8,2,43,7, -,5,37, -,72,6,2, -,27,2,10,1,1,3,63,100.00,6.17,0.17,0.04,0.92,0.15, -,0.11,0.79, -,1.54,0.13,0.04, -,0.58,0.04,0.21,0.02,0.02,0.06,1.35,
,苗栗縣,,"6,173",660,3,2,118,10,1,21,28,20,133,55,1,1,83,32,29, -, -,48,75,100.00,10.69,0.05,0.03,1.91,0.16,0.02,0.34,0.45,0.32,2.15,0.89,0.02,0.02,1.34,0.52,0.47, -, -,0.78,1.21,
,彰化縣,,"13,833","1,505",90,27,269,35,1,52,167,15,386,14,3, -,147,18,26,7,18,32,198,100.00,10.88,0.65,0.20,1.94,0.25,0.01,0.38,1.21,0.11,2.79,0.10,0.02, -,1.06,0.13,0.19,0.05,0.13,0.23,1.43,
,南投縣,,"5,140",417,14,3,17,2,1,7,57,12,124,1,2, -,66,13,33, -, -,10,55,100.00,8.11,0.27,0.06,0.33,0.04,0.02,0.14,1.11,0.23,2.41,0.02,0.04, -,1.28,0.25,0.64, -, -,0.19,1.07,
,雲林縣,,"7,374","1,054",125,3,115,11,4,20,174,20,217,32,2, -,16,5,52, -,1,55,202,100.00,14.29,1.70,0.04,1.56,0.15,0.05,0.27,2.36,0.27,2.94,0.43,0.03, -,0.22,0.07,0.71, -,0.01,0.75,2.74,
,嘉義縣,,"3,484",758,47,2,133,9, -,41,37,19,163,18,5, -,55,13,30,1,6,33,146,100.00,21.76,1.35,0.06,3.82,0.26, -,1.18,1.06,0.55,4.68,0.52,0.14, -,1.58,0.37,0.86,0.03,0.17,0.95,4.19,
,屏東縣,,"7,167",911,33,13,55,14,2,18,23,15,236,12,2,3,70,18,233,1,2,28,133,100.00,12.71,0.46,0.18,0.77,0.20,0.03,0.25,0.32,0.21,3.29,0.17,0.03,0.04,0.98,0.25,3.25,0.01,0.03,0.39,1.86,
,臺東縣,,"1,895",264,12,1,11,5, -,14,25,7,60,3, -,1,26,5,75,2,3,4,10,100.00,13.93,0.63,0.05,0.58,0.26, -,0.74,1.32,0.37,3.17,0.16, -,0.05,1.37,0.26,3.96,0.11,0.16,0.21,0.53,
,花蓮縣,,"3,852",641,29,1,29,5,1,14,16,10,143,4,1, -,32,10,254, -,2,15,75,100.00,16.64,0.75,0.03,0.75,0.13,0.03,0.36,0.42,0.26,3.71,0.10,0.03, -,0.83,0.26,6.59, -,0.05,0.39,1.95,
,澎湖縣,,800,175,5, -,1,7,2,4,20,1,21,3, -, -,7, -,86,1,4,3,10,100.00,21.88,0.63, -,0.13,0.88,0.25,0.50,2.50,0.13,2.63,0.38, -, -,0.88, -,10.75,0.13,0.50,0.38,1.25,
