表1-2-10 高級中等學校畢業生就業情況—按群別分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 學年度 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
單位：人；％,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,人數,,,,,,,,,,,,,,,,,,,,,比率,,,,,,,,,,,,,,,,,,,,,
,,,,"畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業","畢業生
總計","已就業
計","農、
林、
漁、
牧業","礦業及
土石
採取業",製造業,"電力及
燃氣
供應業","用水供
應及
污染
整治業",營造業,"批發及
零售業","運輸及
倉儲業","住宿及
餐飲業","資訊及
通訊
傳播業","金融
及
保險業","不動產
業","專業、
科學及
技術
服務業","支援
服務業","公共行
政及國
防；強
制性社
會安全","教育
服務業","醫療保
健及社
會工作
服務業","藝術、
娛樂及
休閒
服務業","其他
服務業",
總　計,,,,"255,319","20,885",516,93,"2,477",208,31,635,"1,526",529,"5,641",295,76,23,"1,711",573,"1,569",67,106,922,"3,887",100.00,8.18,0.20,0.04,0.97,0.08,0.01,0.25,0.60,0.21,2.21,0.12,0.03,0.01,0.67,0.22,0.61,0.03,0.04,0.36,1.52,
,普通科,,,"103,538",629,12,1,32,5, -,19,32,6,84,7, -,1,9,15,235,7,3,51,110,100.00,0.61,0.01,0.00,0.03,0.00, -,0.02,0.03,0.01,0.08,0.01, -,0.00,0.01,0.01,0.23,0.01,0.00,0.05,0.11,
,職業科,,,"113,779","14,346",348,57,"1,716",125,21,411,"1,060",343,"4,017",193,54,15,"1,188",403,901,45,78,605,"2,766",100.00,12.61,0.31,0.05,1.51,0.11,0.02,0.36,0.93,0.30,3.53,0.17,0.05,0.01,1.04,0.35,0.79,0.04,0.07,0.53,2.43,
,,,機械群,"8,093",482,11,1,199,2, -,25,25,10,40,2, -, -,34,18,41,7,2,8,57,100.00,5.96,0.14,0.01,2.46,0.02, -,0.31,0.31,0.12,0.49,0.02, -, -,0.42,0.22,0.51,0.09,0.02,0.10,0.70,
,,,動力機械群,"5,881","1,769",75,14,344,11,8,93,91,149,129,6,3,4,297,29,149,1,2,28,336,100.00,30.08,1.28,0.24,5.85,0.19,0.14,1.58,1.55,2.53,2.19,0.10,0.05,0.07,5.05,0.49,2.53,0.02,0.03,0.48,5.71,
,,,電機與電子群,"20,738","1,978",63,12,525,60,3,106,127,43,283,67,11, -,98,55,171,1,5,47,301,100.00,9.54,0.30,0.06,2.53,0.29,0.01,0.51,0.61,0.21,1.36,0.32,0.05, -,0.47,0.27,0.82, -,0.02,0.23,1.45,
,,,化工群,"1,438",37,1, -,6, -, -,1, -, -,10,2, -, -,4, -,9, -,1, -,3,100.00,2.57,0.07, -,0.42, -, -,0.07, -, -,0.70,0.14, -, -,0.28, -,0.63, -,0.07, -,0.21,
,,,土木與建築群,"1,927",92,4, -,5, -, -,9,7, -,22, -, -, -,1,1,26, -, -, -,17,100.00,4.77,0.21, -,0.26, -, -,0.47,0.36, -,1.14, -, -, -,0.05,0.05,1.35, -, -, -,0.88,
,,,商業與管理群,"23,877","1,450",15,6,128,9, -,33,233,38,322,62,14,3,35,31,131,4,12,77,297,100.00,6.07,0.06,0.03,0.54,0.04, -,0.14,0.98,0.16,1.35,0.26,0.06,0.01,0.15,0.13,0.55,0.02,0.05,0.32,1.24,
,,,外語群,"6,338",151,1,1,4, -,1, -,2,1,57, -, -, -, -,12,18,2,1,5,46,100.00,2.38,0.02,0.02,0.06, -,0.02, -,0.03,0.02,0.90, -, -, -, -,0.19,0.28,0.03,0.02,0.08,0.73,
,,,設計群,"8,852",459,4, -,24, -,1,14,46,10,98,9, -,1,43,9,39,7,2,58,94,100.00,5.19,0.05, -,0.27, -,0.01,0.16,0.52,0.11,1.11,0.10, -,0.01,0.49,0.10,0.44,0.08,0.02,0.66,1.06,
,,,農業群,"1,915",225,31, -,12, -, -,5,11,4,41,2, -, -,8,13,64, -,2,8,24,100.00,11.75,1.62, -,0.63, -, -,0.26,0.57,0.21,2.14,0.10, -, -,0.42,0.68,3.34, -,0.10,0.42,1.25,
,,,食品群,"1,376",117,2,2,6,3, -,5,14, -,27,2, -, -,6,1,30, -,1, -,18,100.00,8.50,0.15,0.15,0.44,0.22, -,0.36,1.02, -,1.96,0.15, -, -,0.44,0.07,2.18, -,0.07, -,1.31,
,,,家政群,"8,506","1,918",32,3,53,4,1,3,81,9,228,19,4,4,520,32,39,13,19,121,733,100.00,22.55,0.38,0.04,0.62,0.05,0.01,0.04,0.95,0.11,2.68,0.22,0.05,0.05,6.11,0.38,0.46,0.15,0.22,1.42,8.62,
,,,餐旅群,"20,119","4,289",70,12,263,24,5,82,293,48,"2,449",20,16,3,98,70,143,6,18,143,526,100.00,21.32,0.35,0.06,1.31,0.12,0.02,0.41,1.46,0.24,12.17,0.10,0.08,0.01,0.49,0.35,0.71,0.03,0.09,0.71,2.61,
,,,水產群,305,62,2, -,6,2,1,2,6,1,6, -, -, -,3,3,7, -,2, -,21,100.00,20.33,0.66, -,1.97,0.66,0.33,0.66,1.97,0.33,1.97, -, -, -,0.98,0.98,2.30, -,0.66, -,6.89,
,,,海事群,319,72,1, -,2,6, -,9,2,10,6,1, -, -,4, -,26, -, -,2,3,100.00,22.57,0.31, -,0.63,1.88, -,2.82,0.63,3.13,1.88,0.31, -, -,1.25, -,8.15, -, -,0.63,0.94,
,,,藝術群,"2,533",299,7, -,13, -, -,7,26,3,68,1,4, -,1,7,8,1,1,84,68,100.00,11.80,0.28, -,0.51, -, -,0.28,1.03,0.12,2.68,0.04,0.16, -,0.04,0.28,0.32,0.04,0.04,3.32,2.68,
,,,綜合,"1,562",946,29,6,126,4,1,17,96,17,231, -,2, -,36,122, -,3,10,24,222,100.00,60.56,1.86,0.38,8.07,0.26,0.06,1.09,6.15,1.09,14.79, -,0.13, -,2.30,7.81, -,0.19,0.64,1.54,14.21,
