,,,畢業生總計,已就業總計,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
國立,普通科,普通科,34267,185,1,0,8,0,0,4,13,1,28,2,0,0,1,7,99,1,0,4,16
國立,職業科,機械群,4502,249,7,1,92,0,0,16,7,5,16,2,0,0,13,12,36,7,0,3,32
國立,職業科,動力機械群,1239,186,13,2,33,1,0,10,5,3,21,0,0,0,21,10,53,0,0,3,11
國立,職業科,電機與電子群,5195,250,13,2,41,11,1,8,14,3,26,5,0,0,11,11,62,0,1,3,38
國立,職業科,化工群,1268,37,1,0,6,0,0,1,0,0,10,2,0,0,4,0,9,0,1,0,3
國立,職業科,土木與建築群,1267,62,4,0,1,0,0,6,6,0,14,0,0,0,1,1,25,0,0,0,4
國立,職業科,商業與管理群,7990,223,5,2,7,2,0,3,13,1,57,4,2,1,6,5,39,0,2,23,51
國立,職業科,外語群,887,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0
國立,職業科,設計群,1193,37,0,0,2,0,0,3,5,0,9,2,0,0,3,0,4,1,0,1,7
國立,職業科,農業群,1803,225,31,0,12,0,0,5,11,4,41,2,0,0,8,13,64,0,2,8,24
國立,職業科,食品群,1297,117,2,2,6,3,0,5,14,0,27,2,0,0,6,1,30,0,1,0,18
國立,職業科,家政群,1414,93,4,0,9,0,0,0,4,0,30,0,0,0,0,0,6,1,1,7,31
國立,職業科,餐旅群,978,105,2,1,3,1,2,1,7,2,44,1,1,0,1,0,17,0,0,0,22
國立,職業科,水產群,305,62,2,0,6,2,1,2,6,1,6,0,0,0,3,3,7,0,2,0,21
國立,職業科,海事群,269,66,1,0,2,6,0,3,2,10,6,1,0,0,4,0,26,0,0,2,3
國立,職業科,藝術群,151,13,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,5
